year,gender,official_time,seconds
2000,M,2:09:47,7787.0
2000,M,2:09:47,7787.0
2000,M,2:09:50,7790.0
2000,M,2:10:29,7829.0
2000,M,2:11:26,7886.0
2000,M,2:12:26,7946.0
2000,M,2:12:30,7950.0
2000,M,2:12:39,7959.0
2000,M,2:13:26,8006.0
2000,M,2:14:18,8058.0
2000,M,2:15:09,8109.0
2000,M,2:15:24,8124.0
2000,M,2:16:13,8173.0
2000,M,2:16:27,8187.0
2000,M,2:17:04,8224.0
2000,M,2:17:09,8229.0
2000,M,2:17:11,8231.0
2000,M,2:17:24,8244.0
2000,M,2:17:38,8258.0
2000,M,2:18:22,8302.0
2000,M,2:19:13,8353.0
2000,M,2:19:40,8380.0
2000,M,2:21:54,8514.0
2000,M,2:22:06,8526.0
2000,M,2:22:52,8572.0
2000,M,2:23:02,8582.0
2000,M,2:25:10,8710.0
2000,M,2:25:10,8710.0
2000,F,2:26:11,8771.0
2000,F,2:26:27,8787.0
2000,F,2:26:27,8787.0
2000,M,2:26:59,8819.0
2000,M,2:27:04,8824.0
2000,M,2:27:45,8865.0
2000,M,2:28:15,8895.0
2000,M,2:29:04,8944.0
2000,M,2:29:14,8954.0
2000,M,2:29:39,8979.0
2000,F,2:29:46,8986.0
2000,M,2:30:01,9001.0
2000,F,2:30:12,9012.0
2000,F,2:30:18,9018.0
2000,F,2:30:20,9020.0
2000,M,2:30:30,9030.0
2000,M,2:30:54,9054.0
2000,M,2:31:01,9061.0
2000,M,2:31:16,9076.0
2000,F,2:31:22,9082.0
2000,M,2:31:43,9103.0
2000,F,2:31:49,9109.0
2000,M,2:31:52,9112.0
2000,M,2:32:01,9121.0
2000,F,2:32:09,9129.0
2000,M,2:32:11,9131.0
2000,F,2:32:21,9141.0
2000,M,2:32:22,9142.0
2000,M,2:32:25,9145.0
2000,M,2:32:33,9153.0
2000,M,2:32:36,9156.0
2000,M,2:32:51,9171.0
2000,M,2:33:01,9181.0
2000,M,2:33:03,9183.0
2000,M,2:33:14,9194.0
2000,M,2:33:25,9205.0
2000,M,2:33:34,9214.0
2000,M,2:33:35,9215.0
2000,M,2:33:36,9216.0
2000,M,2:33:42,9222.0
2000,F,2:33:45,9225.0
2000,M,2:33:57,9237.0
2000,M,2:34:00,9240.0
2000,M,2:34:04,9244.0
2000,M,2:34:10,9250.0
2000,M,2:34:15,9255.0
2000,M,2:34:30,9270.0
2000,M,2:34:37,9277.0
2000,M,2:34:45,9285.0
2000,M,2:34:50,9290.0
2000,M,2:34:53,9293.0
2000,M,2:34:54,9294.0
2000,M,2:34:56,9296.0
2000,M,2:34:56,9296.0
2000,M,2:35:00,9300.0
2000,F,2:35:11,9311.0
2000,F,2:35:12,9312.0
2000,F,2:35:43,9343.0
2000,M,2:36:00,9360.0
2000,M,2:36:03,9363.0
2000,M,2:36:06,9366.0
2000,M,2:36:42,9402.0
2000,M,2:36:50,9410.0
2000,M,2:36:52,9412.0
2000,M,2:36:52,9412.0
2000,M,2:37:11,9431.0
2000,M,2:37:12,9432.0
2000,M,2:37:12,9432.0
2000,M,2:37:17,9437.0
2000,M,2:37:21,9441.0
2000,M,2:37:24,9444.0
2000,M,2:37:30,9450.0
2001,M,2:09:43,7783.0
2001,M,2:10:07,7807.0
2001,M,2:10:29,7829.0
2001,M,2:11:47,7907.0
2001,M,2:12:01,7921.0
2001,M,2:12:41,7961.0
2001,M,2:12:44,7964.0
2001,M,2:13:54,8034.0
2001,M,2:14:13,8053.0
2001,M,2:14:21,8061.0
2001,M,2:14:47,8087.0
2001,M,2:15:05,8105.0
2001,M,2:16:00,8160.0
2001,M,2:16:17,8177.0
2001,M,2:17:02,8222.0
2001,M,2:17:04,8224.0
